,date,station,humidity,wind,sunshine,temperature,aqi,status,month,year
0,2016-01-20,1,81.57875,1.1849999999999998,21.0225,-14.30625,271.5,4,1,2016
1,2016-01-20,2,80.63624999999999,0.6412500000000001,36.38999999999998,-13.495000000000001,173.0,4,1,2016
2,2016-01-20,3,75.9525,0.545,40.96375,-7.776250000000001,301.9,5,1,2016
3,2016-01-20,4,74.57374999999999,0.8074999999999999,29.53875,-8.023750000000001,224.8,6,1,2016
4,2016-01-20,5,75.85,21.033749999999998,60.37874999999999,-1.29,18.0,1,1,2016
5,2016-01-20,6,80.29124999999999,0.7375,13.30625,-9.25,116.2,4,1,2016
6,2016-01-21,1,81.75875000000002,1.3791666666666667,85.27374999999999,-13.07291666666667,312.3,5,1,2016
7,2016-01-21,2,80.54333333333334,0.6725000000000002,90.66083333333334,-13.036666666666664,241.4,4,1,2016
8,2016-01-21,3,76.71166666666666,0.6025000000000001,85.11208333333333,-7.278333333333335,262.3,5,1,2016
9,2016-01-21,4,73.61833333333333,0.8620833333333332,39.69125000000001,-7.90625,288.9,4,1,2016
10,2016-01-21,5,67.14375,4.522083333333334,91.82499999999997,-1.4908333333333335,34.2,0,1,2016
11,2016-01-21,6,80.55458333333333,0.9116666666666666,65.96541666666666,-9.02875,247.4,5,1,2016
12,2016-01-22,1,68.04208333333334,2.5949999999999998,115.44500000000001,-4.855416666666668,97.0,1,1,2016
13,2016-01-22,2,70.96958333333332,1.22125,121.46958333333333,-4.757083333333333,89.3,1,1,2016
14,2016-01-22,3,67.43708333333332,1.4570833333333333,119.45916666666666,-4.6525,2.3,2,1,2016
15,2016-01-22,4,63.24750000000001,2.262916666666667,108.98166666666664,-5.089166666666665,87.6,1,1,2016
16,2016-01-22,5,68.88249999999998,3.525416666666668,69.69874999999998,-7.28375,30.0,1,1,2016
17,2016-01-22,6,68.70583333333333,2.0916666666666663,109.31166666666665,-4.835833333333334,15.1,2,1,2016
18,2016-01-23,1,82.56125,1.3449999999999998,87.3725,-11.545833333333329,61.3,4,1,2016
19,2016-01-23,2,82.13791666666665,0.6620833333333335,98.02083333333339,-11.481666666666667,89.1,3,1,2016
20,2016-01-23,3,77.96124999999999,0.6408333333333335,101.79041666666666,-9.738750000000001,11.4,4,1,2016
21,2016-01-23,4,73.455,1.1308333333333331,99.86708333333335,-10.2675,192.2,3,1,2016
22,2016-01-23,5,50.31041666666666,2.785833333333334,99.09124999999999,-7.000416666666666,49.6,0,1,2016
23,2016-01-23,6,80.495,0.8775000000000001,72.27624999999999,-11.302916666666668,156.4,3,1,2016
24,2016-01-24,1,82.08125,1.3895833333333334,66.94375000000001,-13.141250000000001,143.7,5,1,2016
25,2016-01-24,2,82.73625,0.7275000000000001,58.89791666666665,-12.89666666666667,131.2,4,1,2016
26,2016-01-24,3,79.37166666666668,0.5375,56.53791666666666,-11.18625,332.7,5,1,2016
27,2016-01-24,4,73.77416666666664,0.8237499999999999,77.44125000000003,-11.652916666666663,286.3,5,1,2016
28,2016-01-24,5,37.324583333333344,5.123333333333333,81.83458333333333,-5.060833333333334,16.7,0,1,2016
29,2016-01-24,6,81.75125000000001,0.9054166666666666,58.055416666666666,-12.857916666666668,59.0,6,1,2016
30,2016-01-25,1,80.68125,1.4795833333333333,68.15708333333335,-3.431666666666666,57.7,4,1,2016
31,2016-01-25,2,80.65249999999999,0.8341666666666665,56.42291666666667,-3.03125,77.8,3,1,2016
32,2016-01-25,3,79.97583333333334,1.2079166666666667,63.30166666666668,-2.3275,51.8,3,1,2016
33,2016-01-25,4,77.06125,1.06625,80.67958333333334,-2.592916666666666,131.9,2,1,2016
34,2016-01-25,5,74.61583333333334,23.282083333333333,87.5825,-2.842916666666666,40.8,0,1,2016
35,2016-01-25,6,80.48916666666665,0.9887499999999999,64.08333333333333,-3.217916666666667,196.6,3,1,2016
36,2016-01-26,1,87.32708333333333,1.8166666666666667,39.5525,0.29750000000000004,21.5,3,1,2016
37,2016-01-26,2,86.70583333333333,0.9995833333333334,36.93541666666666,0.9079166666666668,3.2,3,1,2016
38,2016-01-26,3,84.67458333333335,1.207916666666667,40.1475,1.472916666666667,95.0,2,1,2016
39,2016-01-26,4,80.71291666666666,1.9858333333333331,48.16666666666668,1.4225,77.6,2,1,2016
40,2016-01-26,5,85.87350000000002,15.339999999999998,48.03791666666666,1.70375,29.6,0,1,2016
41,2016-01-26,6,85.565,1.4391666666666667,39.78458333333333,0.8058333333333335,3.0,3,1,2016
42,2016-01-27,1,80.07916666666668,1.0925000000000002,94.67249999999997,4.480416666666668,70.6,3,1,2016
43,2016-01-27,2,83.46833333333335,0.4633333333333333,94.86333333333329,4.324166666666667,76.7,3,1,2016
44,2016-01-27,3,79.64416666666666,0.4695833333333332,99.34375,5.05,97.8,3,1,2016
45,2016-01-27,4,82.44624999999999,0.8741666666666666,97.73916666666668,3.4275000000000007,128.8,3,1,2016
46,2016-01-27,5,65.01714285714286,3.3345833333333332,65.47333333333334,4.920000000000001,12.1,0,1,2016
47,2016-01-27,6,81.43916666666668,0.8541666666666666,73.07208333333331,4.375000000000001,47.0,3,1,2016
48,2016-01-28,1,79.78791666666666,1.1708333333333334,119.30041666666669,-4.324583333333334,20.1,4,1,2016
49,2016-01-28,2,82.12500000000001,0.73625,107.18625000000003,-4.17625,137.6,3,1,2016
50,2016-01-28,3,75.54,0.7954166666666667,96.00791666666667,-5.227083333333334,197.9,3,1,2016
51,2016-01-28,4,75.99291666666667,1.2229166666666667,110.57833333333336,4.798749999999999,129.4,3,1,2016
